"","RAZZ_105_P1","RAZZ_110_P1","RAZZ_116_P1","RAZZ_127_P1","RAZZ_130_P1","RAZZ_137_P1","RAZZ_143_P1","RAZZ_157_P1","RAZZ_163_P1","RAZZ_166_P1","RAZZ_169_P1","RAZZ_199_P1","RAZZ_202_P1","RAZZ_203_P1","RAZZ_218_P1","RAZZ_223_P1","RAZZ_238_P1","RAZZ_241_P1","RAZZ_246_P1","RAZZ_247_P1","RAZZ_251_P1","RAZZ_258_P1","RAZZ_277_P1","RAZZ_287_P1","RAZZ_320_P1","RAZZ_338_P1","RAZZ_348_P1","RAZZ_352_P1","RAZZ_359_P1","RAZZ_360_P1","RAZZ_369_P1","RAZZ_379_P1","RAZZ_389_P1","RAZZ_419_P1","RAZZ_429_P1","RAZZ_447_P1","RAZZ_460_P1","RAZZ_462_P1"
"Neutrophils",1,0.333333333333333,0.333333333333333,0.236686666666667,0.23345,0.20281,1,1,0.0103033333333333,0.333333333333333,0.32066,0.295346666666667,0.23511,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,1,1,1,0.00341999999999998,0.333333333333333,0.24629,0.05738,1,0.333333333333333,0.333333333333333,0.333333333333333,0.20743,1,0.0192233333333334,0.333333333333333,1,1,0.333333333333333,0.333333333333333,0.333333333333333
"NK cells",0,0,0,0,1,0,0,0,0,0.666666666666667,0,0,0,0,0.00375999999999999,1,0,0,0,0,0,0.666666666666667,0,0,0.000266666666666637,0.666666666666667,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0
"NKT",0.0212566666666667,0,0.00791333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00228666666666666,0,0,1,0.244743333333333,0,0,0.0775,0,0,0,0,0,0,0.0529266666666667,0,0,0,0,0,0
"Osteoblast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0666833333333333,0,0,0,0,0,0
"pDC",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"Pericytes",0.324456666666667,1,1,0.0951066666666667,0.03716,1,0.172906666666667,1,0.127633333333333,0.13743,1,0.31104,0.36673,0.06477,0.06708,0.534313333333333,0.309256666666667,0.102043333333333,0.149446666666667,0.0752133333333334,1,0.20246,0.0582366666666667,0.0745466666666666,1,0.215126666666667,0.229893333333333,1,0.120793333333333,0.163146666666667,0.0556666666666666,1,0.441336666666667,0.29279,0.132833333333333,0.107123333333333,0.296476666666667,0.272956666666667
"Plasma cells",0.00184666666666666,0,0,0.01481,1,0,1,1,0,1,0.02188,0.111713333333333,0,0,0,1,0,0,0.00574666666666668,0,0.09017,1,0,0,1,1,0.0864233333333333,0,0,0,0,1,0,0,0,0.10165,0.00649666666666671,0
"Platelets",0.02657,0.122453333333333,0.28569,0.40132,0,0.666666666666667,0,0.0765033333333334,0.0766466666666666,0,0.666666666666667,0.2474,0.666666666666667,0.338936666666667,0.354693333333333,0,0.0134300000000001,0.161633333333333,0.0613933333333333,1,0,0,0.350253333333333,1,0.0665966666666666,7.66666666666138e-05,0.0904466666666667,0.315463333333333,0.352553333333333,0.29607,0,0.1045,0.465453333333333,1,0.204986666666667,0.269523333333333,0.52243,0.19686
"Preadipocytes",1,1,1,0.338876666666667,1,1,1,1,0.04553,1,0.322696666666667,1,0.312053333333333,0.424706666666667,1,1,0.329713333333333,1,1,1,0,0,1,1,1,1,0.138146666666667,0.37124,1,1,1,0,1,0.494183333333333,1,1,0.17675,0.0112100000000001
"pro B-cells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.410193333333333,1,1,1,1,1,1,1,0.0773533333333334,1,1,1,1,1,0.829236666666667
"Sebocytes",0.333333333333333,1,1,1,0.333333333333333,0.333333333333333,1,1,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,1,1,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,1,1,1,1
"Skeletal muscle",1,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,1,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,1,1,1,0.666666666666667,1,0.666666666666667,0.25882,0.666666666666667,0.666666666666667,0.666666666666667,1,1,0.666666666666667
"Smooth muscle",0.10514,0.462756666666667,0.788573333333333,0.55935,1,0.44116,1,1,0.0176466666666667,1,0,0.805636666666667,0.4004,0.331943333333333,1,0,0.0592433333333333,1,1,0.951553333333333,0.18946,0,1,1,0.0722333333333334,0.00158000000000003,0,0.0340166666666667,1,1,1,1,1,1,1,1,0.376376666666667,0.02023
"Tgd cells",1,0.333333333333333,1,0.333333333333333,1,1,1,0.333333333333333,0.333333333333333,1,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0,0.333333333333333,1,1,1,1,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,1,1,1,1,1
"Th1 cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00724999999999998,0,0,0,0,0.00695000000000001,0,0,0,0.0104766666666667,0,0,0,0,0,0,1,0,0,0,0,0,0
"Th2 cells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00896333333333332,1,1,1,1,1,1
"Tregs",0.0372933333333333,0.333333333333333,1,0.01085,0.333333333333333,0.00177000000000005,0.333333333333333,0.0306866666666666,0.333333333333333,1,0,3.33333333333297e-05,0.00394000000000005,0,1,0.133376666666667,0.18732,0.00575333333333339,1,0.333333333333333,1,1,0,1,0.333333333333333,0.333333333333333,0,1,0.279203333333333,0.0185566666666667,1,0.333333333333333,0.0126133333333334,0,1,0.333333333333333,1,0.114286666666667
